text,translations,audioURL,isNew
하얀색,"[""white""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/a43e286bb21b263d6dff6dc5ac8fdcd8,True
카메라,"[""camera""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/25d8ca88ab63dbc4d82aaa12bf511696,True
볼펜,"[""pen""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/8816abff7cc00fe01315c7d0abbe7b48,True
무겁다,"[""is heavy""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/f46a4072cfa47da66c92e0510ea0127e,True
책,"[""book""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/be0f446139062990f2bb9c8ae3d2c809,True
지갑,"[""wallet""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/0131275e0cb39f97565686ca63fde940,True
크다,"[""big"", ""is big"", ""large"", ""huge"", ""bigger"", ""are big""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/5c81cb3cdf9a9e1eb177d72cd932f50f,True
비싼,"[""expensive""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/6f22dda4ff026dfa3a4de60062d9fb76,True
가방,"[""bag""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/24fc4d2fa1460572a56dc035bf5b102f,True
이에요,"[""is"", ""am"", ""are""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/56ac020a13fc5dec87493d6de8a90c4e,True
제,"[""my""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/62a80590c5b7d29db30ba604c17cb140,True
핸드폰,"[""cell phone""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/ddc5c11b9e9605434841cde83507a700,True
맛있는,"[""delicious""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/94859c223f9d9319b8291357e794a8a1,True
찌개,"[""stew""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/5bb1f4a99451fb9ddeb4bd957db0b0dc,True
고기,"[""meat""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/543bf63deedb45bea679ca9d1f334725,True
만두,"[""dumpling""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/80454efe7926e22168a6e3ca315028d3,True
잡채,"[""japchae""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/70d9168578bd2c46f760219c403cb128,True
뜨거운,"[""hot""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/508b01bb19d74fc1abbbc5096a0cbbce,True
두부,"[""tofu""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/612ebbeb1d94ec4e43f4da33b4bb17bf,True
김치,"[""kimchi""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/0038355c3474d6b046614763e41c3490,True
예요,"[""is"", ""am"", ""are""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/f31ca79f443c56d9379ff7c6eb4c4839,True
빙수,"[""bingsu""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/ec1c1f6a5dfc12e51e4c45b4d865b78c,True
샌드위치,"[""sandwich""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/26a219f4249ae9656e928a1fe35f00a4,True
케이크,"[""cake""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/5baa67c91d574d80664b1939a6e8c04f,True
물,"[""water""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/a3853687ff493b0e05a255f7633d1823,True
랑,"[""and"", ""with""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/f45fd8026f9a50db3ea3e210c0a53741,True
감사합니다,"[""thank you""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/0a6a6568d61ac77615beddf4c31ca38a,True
빵,"[""bread""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/9d2df887f8cce9e0563ef4fb92893a33,True
안녕하세요,"[""hello""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/d1fb1542b633e75f93bcf84701d4664e,True
커피,"[""coffee""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/14521547378bc99133298ed3c9d27589,True
주세요,"[""please"", ""please give"", ""please give me"", ""I'd like please"", ""I'd like"", ""give me"", ""give"", ""I'd like it"", ""give us"", ""can I have some please""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/46bcfedcfe8d57a8f5a31ece13ec7588,True
차,"[""tea""]",https://d1vq87e9lcf771.cloudfront.net/ahnjong/31b757f84e1aa90fa41250c842d7845f,True
